City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
336,Coihaique,CL,-45.5752,-72.0662,52.41,82,75,6.91,light rain
337,Dongkan,CN,33.9997,119.8308,61.14,53,100,8.1,overcast clouds
338,Lebedinyy,RU,58.5167,125.5167,13.37,87,100,13.65,light snow
339,Kahului,US,20.8947,-156.47,78.82,66,20,18.41,few clouds
340,Fairbanks,US,64.8378,-147.7164,24.6,55,0,8.05,clear sky
341,Kavos,GR,38.8268,22.8322,53.19,77,100,1.01,overcast clouds
342,Burnie,AU,-41.0667,145.9167,62.37,64,100,6.49,overcast clouds
343,Visby,SE,57.6409,18.296,32.22,93,75,26.46,light snow
344,Lagoa,PT,39.05,-27.9833,59.02,72,61,8.72,broken clouds
345,San-Pedro,CI,4.7485,-6.6363,78.91,92,100,5.48,overcast clouds
