City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
204,Te Anau,NZ,2022-04-02 22:06:44,-45.4167,167.7167,56.95,59,29,0.87
205,Castro,BR,2022-04-02 22:04:03,-24.7911,-50.0119,59.92,96,100,6.44
206,Forest Grove,US,2022-04-02 22:06:44,45.5198,-123.1107,59.14,57,75,9.22
207,Harper,LR,2022-04-02 22:06:45,4.375,-7.7169,79.63,84,100,9.42
208,Torbay,CA,2022-04-02 22:05:33,47.6666,-52.7314,38.57,89,100,8.01
209,Camacha,PT,2022-04-02 22:06:45,33.0833,-16.3333,58.42,77,40,11.5
210,Cabo San Lucas,MX,2022-04-02 22:06:46,22.8909,-109.9124,81.61,58,20,19.57
211,Anloga,GH,2022-04-02 22:06:46,5.7947,0.8973,82.71,82,95,12.5
212,Buraydah,SA,2022-04-02 22:06:47,26.326,43.975,75.79,12,15,8.88
213,Dingle,PH,2022-04-02 22:06:47,10.9995,122.6711,74.64,88,79,7.36
214,Emerald,AU,2022-04-02 22:06:48,-23.5333,148.1667,70.34,83,43,11.3
215,Zahesi,GE,2022-04-02 22:06:48,41.8246,44.7536,55.11,55,33,4.27
216,Mangan,IN,2022-04-02 22:06:49,27.5167,88.5333,69.13,92,100,0.87
217,Mayo,US,2022-04-02 22:06:49,38.8876,-76.5119,59.56,47,0,13.0
218,Nome,US,2022-04-02 22:06:50,64.5011,-165.4064,19.47,49,0,13.8
219,Mogadishu,SO,2022-04-02 22:02:24,2.0371,45.3438,81.45,81,66,14.65
220,Smithers,CA,2022-04-02 22:04:19,54.7804,-127.1743,44.28,52,95,4.72
221,Leningradskiy,RU,2022-04-02 22:06:50,69.3833,178.4167,-5.31,95,100,11.21
222,Ilulissat,GL,2022-04-02 21:58:30,69.2167,-51.1,31.5,82,52,6.6
223,Hami,CN,2022-04-02 22:06:51,42.8,93.45,50.56,22,54,7.54
224,Codrington,AU,2022-04-02 22:06:51,-38.2667,141.9667,59.07,78,56,4.27
225,Major Isidoro,BR,2022-04-02 22:06:52,-9.5322,-36.985,77.41,69,68,11.61
226,Vardo,NO,2022-04-02 22:06:53,70.3705,31.1107,27.43,69,100,8.14
227,Trairi,BR,2022-04-02 22:06:53,-3.2778,-39.2689,75.76,91,100,6.93
228,Beloha,MG,2022-04-02 22:07:53,-25.1667,45.05,70.74,66,0,3.06
229,Avarua,CK,2022-04-02 21:58:37,-21.2078,-159.775,84.25,74,75,4.61
230,Deputatskiy,RU,2022-04-02 22:07:54,69.3,139.9,-14.57,100,100,0.94
231,Port Hawkesbury,CA,2022-04-02 22:07:54,45.6169,-61.3485,33.91,94,100,18.41
232,Cuamba,MZ,2022-04-02 22:07:55,-14.8031,36.5372,67.3,97,39,2.19
233,Medicine Hat,CA,2022-04-02 22:07:55,50.0501,-110.6683,52.84,42,100,1.01
234,Boyolangu,ID,2022-04-02 22:07:55,-8.1181,111.8935,74.68,91,96,1.34
235,Walvis Bay,NA,2022-04-02 22:07:56,-22.9575,14.5053,57.09,84,0,7.0
236,Zhangjiakou,CN,2022-04-02 22:07:56,40.81,114.8794,40.48,33,99,0.83
237,High Level,CA,2022-04-02 22:05:14,58.5169,-117.136,21.99,78,100,2.86
238,Acajutla,SV,2022-04-02 22:07:57,13.5928,-89.8275,85.95,64,39,9.57
239,Fukue,JP,2022-04-02 22:07:57,32.6881,128.8419,53.38,58,87,17.36
240,Ust-Ilimsk,RU,2022-04-02 22:07:58,58.0006,102.6619,15.3,95,100,6.44
241,Yar-Sale,RU,2022-04-02 22:07:58,66.8333,70.8333,-1.95,97,15,8.1
242,Kaitangata,NZ,2022-04-02 22:07:59,-46.2817,169.8464,58.3,68,34,8.97
243,Clyde River,CA,2022-04-02 22:07:59,70.4692,-68.5914,12.43,92,100,8.05
244,Upata,VE,2022-04-02 22:07:59,8.0086,-62.3989,84.78,45,17,8.12
